"tomatometer_rating","movie_title","tomatometer_count","genre"
90,Much Ado About Nothing,48,"Comedy, Drama, Romance"
90,No Way Out,10,Drama
90,Splash,41,"Comedy, Science Fiction & Fantasy, Romance"
90,Stage Fright,20,"Classics, Documentary, Drama, Mystery & Suspense"
90,The Flight of the Phoenix,21,"Action & Adventure, Classics, Drama"
90,The Magnificent Ambersons,40,"Classics, Drama"
90,The Man in the Moon,20,"Drama, Romance"
90,The Parent Trap,20,"Classics, Comedy, Kids & Family, Romance"
90,The Pink Panther,31,"Comedy, Mystery & Suspense, Romance"
90,The Producers,70,"Classics, Comedy"
89,[Rec],35,"Art House & International, Horror, Special Interest"
89,"20,000 Leagues Under The Sea",27,"Action & Adventure, Drama, Kids & Family"
89,"20th Century Women",217,"Comedy, Drama"
89,"3:10 to Yuma",219,"Action & Adventure, Drama, Western"
89,"52 Tuesdays",37,"Drama, Kids & Family"
89,A Christmas Story,57,"Comedy, Drama, Kids & Family"
89,A Ciambra,55,Drama
89,A Private War,132,Drama
89,Broken Arrow,9,"Action & Adventure, Classics, Drama, Western, Romance"
89,Bye Bye Birdie,28,"Classics, Comedy, Kids & Family, Musical & Performing Arts"
89,College,18,"Classics, Comedy, Romance"
89,Der Unhold (The Ogre),9,"Art House & International, Drama"
89,Devdas,19,"Art House & International, Drama, Musical & Performing Arts, Romance"
89,Go West,9,"Classics, Comedy, Musical & Performing Arts, Western"
89,Heaven Can Wait,37,"Comedy, Science Fiction & Fantasy, Romance, Sports & Fitness"
89,Ice People,9,"Documentary, Special Interest"
89,Imitation of Life,18,"Classics, Drama, Romance"
89,Johnny Belinda,9,"Classics, Drama"
89,Possessed,9,"Classics, Drama, Mystery & Suspense"
89,RoboCop,64,"Action & Adventure, Drama, Science Fiction & Fantasy"
89,Shall We Dance,9,"Classics, Comedy, Drama, Musical & Performing Arts, Romance"
89,Show Boat,9,"Classics, Drama, Musical & Performing Arts"
89,The Browning Version,18,"Classics, Drama"
89,The Devil and Daniel Johnston,111,"Documentary, Musical & Performing Arts"
89,"The Long, Hot Summer",18,"Classics, Drama"
89,The Messenger,159,"Drama, Romance"
89,The Mummy,9,"Art House & International, Classics, Horror"
89,The Road Home (Wo de fu qin mu qin),80,"Art House & International, Drama, Romance"
89,The Thing from Another World,35,"Classics, Horror, Science Fiction & Fantasy"
89,The Visitor,118,Drama
89,The Warriors,38,"Action & Adventure, Cult Movies, Drama"
89,Twelve Monkeys (12 Monkeys),66,"Drama, Science Fiction & Fantasy"
88,"78/52: Hitchcock's Shower Scene",78,Documentary
88,A Fond Kiss,26,"Drama, Romance"
88,A Private Function,8,"Art House & International, Comedy, Special Interest"
88,A Screaming Man,41,"Art House & International, Drama"
88,A Small Act,16,"Documentary, Special Interest"
88,A Whale of a Tale,16,Documentary
88,After Hours,52,"Comedy, Mystery & Suspense"
88,Alexandra,59,Drama
88,Awakenings,33,Drama
88,Burning the Future: Coal in America,8,"Documentary, Special Interest"
88,Christmas in Connecticut,17,"Classics, Comedy"
88,Duel,41,"Mystery & Suspense, Television"
88,El Ba?o del Papa (The Pope's Toilet),26,"Art House & International, Comedy, Drama"
88,Islander,8,Drama
88,Islands in the Stream,8,Drama
88,Kiss of Death,16,"Classics, Drama, Mystery & Suspense"
88,Little Lord Fauntleroy,8,"Classics, Drama, Kids & Family"
88,Malcolm X,57,Drama
88,Monkey Business,25,"Classics, Comedy, Drama, Science Fiction & Fantasy"
88,Murder!,17,"Classics, Drama, Mystery & Suspense"
88,Mystery Train,32,"Art House & International, Comedy, Drama"
88,Near Dark,49,"Horror, Mystery & Suspense, Western, Romance"
88,No Direction Home: Bob Dylan,17,"Documentary, Musical & Performing Arts"
88,Planet of the Apes,58,"Classics, Science Fiction & Fantasy"
88,Quo Vadis?,17,"Classics, Documentary, Drama, Special Interest, Romance, Faith & Spirituality"
88,Reprise,80,"Comedy, Drama"
